PROPERTY.TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,SQUARE.FEET,LOT.SIZE,YEAR.BUILT,Dollar/SQUARE.FEET,LATITUDE,LONGITUDE,DAYS.ON.MARKET
Single Family Residential,15168 Ridge Ln,Fontana,CA,92336,639000,3,2.5,2046,1334,2022,312,34.1350552,-117.4740141,212
Single Family Residential,1582 Lisa Ln,Redlands,CA,92374,427500,2,2,919,1340,1977,465,34.0570934,-117.1484438,19
Single Family Residential,3685 Vista Campana N #16,Oceanside,CA,92057,438000,2,1,906,1340,1965,483,33.2163382,-117.3291561,107
Single Family Residential,210 El Porto St,Manhattan Beach,CA,90266,3200000,2,4,1726,1347,1947,1854,33.9022516,-118.4192272,11
Single Family Residential,209 41st,Manhattan Beach,CA,90266,3350000,3,3.5,1884,1348,2004,1778,33.9033761,-118.4197834,6
Single Family Residential,3755 Vista Campana N #58,Oceanside,CA,92057,385000,2,1,906,1354,1966,425,33.2173133,-117.3270239,54
Single Family Residential,29 Surfside Ave Unit B,Surfside,CA,90743,2995000,3,3,1531,1365,1948,1956,33.725672,-118.080403,5
Single Family Residential,2750 Solana Way,Laguna Beach,CA,92651,2995000,2,2,1150,1368,1947,2604,33.5221684,-117.7624974,33
Single Family Residential,15893 Blue Copper Way,Fontana,CA,92336,591267,3,2.5,1372,1372,2025,431,34.169237,-117.457796,42
Single Family Residential,2989 W 12th St,Los Angeles,CA,90006,499900,2,1,520,1381,1924,961,34.0491827,-118.306045,47
Single Family Residential,1211 Cole Ave,Los Angeles,CA,90038,769000,2,2,1096,1388,1950,702,34.0929277,-118.3300655,46
Single Family Residential,1205 Cole Ave,Los Angeles,CA,90038,769000,2,2,1096,1394,1950,702,34.0927351,-118.3300459,46
Single Family Residential,2414 Niagara Way,Costa Mesa,CA,92626,869000,3,2,1120,1400,1965,776,33.6616648,-117.9073,1
Single Family Residential,15903 Blue Copper Way,Fontana,CA,92336,589819,3,2.5,1450,1400,2025,407,34.169441,-117.45772,71
Single Family Residential,13906 Gazania Ln,Fontana,CA,92336,669999,3,2.5,1882,1434,2023,356,34.128377,-117.5018509,110
Single Family Residential,716 Pacific Ln,Torrance,CA,90501,650000,1,2,660,1447,1918,985,33.8397068,-118.3219577,43
Single Family Residential,5321 Prato Ln,Fontana,CA,92336,700000,4,3,2358,1448,2022,297,34.157293,-117.456864,14
Single Family Residential,12525 W Andre Ln,Sun Valley,CA,91352,799000,4,3,1517,1471,2025,527,34.23469,-118.40637,11
Single Family Residential,8021 Towne Ave,Los Angeles,CA,90003,490000,1,1,440,1481,1926,1114,33.9657859,-118.2674881,372
Single Family Residential,2111 Vista Entrada,Newport Beach,CA,92660,2880000,3,2.5,1920,1489,1970,1500,33.6378715,-117.8852835,6
Single Family Residential,917 Hyde Ct,Costa Mesa,CA,92626,1049900,4,2.5,1860,1496,1979,564,33.6810967,-117.8951336,6
Single Family Residential,3660 Vista Campana N #15,Oceanside,CA,92057,540000,2,2,1028,1501,1964,525,33.2186377,-117.3304067,32
Single Family Residential,1505 Haven Ln,Santa Ana,CA,92703,769000,3,2.5,1451,1512,1985,530,33.7579552,-117.9330736,16
Single Family Residential,578 W 23rd St,San Pedro,CA,90731,599999,2,1,790,1530,1923,759,33.7235004,-118.2898404,42
Single Family Residential,2372 Palmdale Cir,Hemet,CA,92545,430000,3,2,1544,1544,1983,278,33.741994,-116.9961797,51
Single Family Residential,15418 Village 15,Camarillo,CA,93012,569000,2,2,961,1584,1974,592,34.2258875,-118.9862061,2
Single Family Residential,15929 Blue Copper Way,Fontana,CA,92336,624273,3,2.5,1661,1600,2025,376,34.16941833,-117.4611969,1
Single Family Residential,15929 Blue Copper Way,Fontana,CA,92336,624273,3,2.5,1661,1600,2025,376,34.169493,-117.458116,1
Single Family Residential,4784 Milkweed Ct,Fontana,CA,92336,746027,4,3,2136,1600,2025,349,34.185949,-117.423151,1
Single Family Residential,4784 Milkweed Ct,Fontana,CA,92336,746027,4,3,2136,1600,2025,349,34.185949,-117.423151,1
Single Family Residential,625 E Merion St,Ontario,CA,91761,549900,2,2.5,1141,1600,1984,482,34.0204913,-117.6424496,20
Single Family Residential,3685 Vista Campana N #72,Oceanside,CA,92057,499900,2,2,1099,1600,1965,455,33.2163382,-117.3291561,80
Single Family Residential,1075 Coronado Ave,Long Beach,CA,90804,560000,1,1,546,1600,1922,1026,33.7803604,-118.1537826,160
Single Family Residential,517 Orilla Walk,Oxnard,CA,93030,739995,3,2.5,1603,1603,1995,462,34.2068288,-119.1654565,4
Single Family Residential,514 San Pablo Ct,San Dimas,CA,91773,684000,3,2.5,1521,1603,1978,450,34.100443,-117.807532,74
Single Family Residential,9900 Tagus St #30,Pico Rivera,CA,90660,788000,4,2.5,1703,1606,1989,463,34.0078161,-118.0625863,25
Single Family Residential,3839 Vista Campana S #6,Oceanside,CA,92057,389000,2,1.5,994,1631,1970,391,33.2141444,-117.3232122,50
Single Family Residential,615 E Joseph Privado,Ontario,CA,91761,733800,3,2.5,1684,1644,2023,436,34.0222807,-117.6429687,54
Multi-Family (2-4 Unit),341 Bonito Ave,Long Beach,CA,90802,825000,4,1.5,3268,1645,1949,252,33.7714584,-118.1801257,104
Single Family Residential,12698 Shearer Ln,Garden Grove,CA,92843,699000,2,2.5,1188,1650,1979,588,33.760081,-117.907908,2
Single Family Residential,5608 Hooper Ave,Los Angeles,CA,90011,515000,3,2,572,1650,1910,900,33.9917956,-118.2519453,56
Single Family Residential,6507 Seashore Dr,Newport Beach,CA,92663,3495000,4,2,1543,1656,1964,2265,33.6270162,-117.9514666,178
Single Family Residential,11931 Buckingham Cir,Garden Grove,CA,92840,676000,4,2.5,1452,1669,1965,466,33.7895528,-117.9092697,118
Single Family Residential,7135 Montecito Ln,Eastvale,CA,92880,755000,4,3.5,1938,1671,2020,390,33.9577366,-117.5999643,34
Single Family Residential,11240 Dover Way,Stanton,CA,90680,690000,3,1.5,1121,1672,1971,616,33.7997789,-118.003329,51
Single Family Residential,5115 Castelotte Ct,Whittier,CA,90601,680000,3,3,1419,1698,1967,479,34.0027813,-118.055482,13
Single Family Residential,13743 Cordary Ave,Hawthorne,CA,90250,785000,3,2.5,1480,1698,2007,530,33.9062389,-118.3420628,17
Single Family Residential,310 S Argyle Ave #105,Fresno,CA,93727,210000,2,1.5,1168,1698,1975,180,36.7404477,-119.693552,80
Single Family Residential,3140 Pluma St,Lynwood,CA,90262,543210,2,1,676,1708,1929,804,33.9339693,-118.2144926,19
Single Family Residential,517 Wayland Ct,Claremont,CA,91711,609000,2,2.5,1499,1711,1981,406,34.0933446,-117.7062801,29
Single Family Residential,24581 Sonieta Ct,Corona,CA,92883,684999,3,2.5,1732,1732,2023,395,33.761787,-117.476536,27
Single Family Residential,4302 Dowitcher Way,Oceanside,CA,92057,575000,2,2,1092,1736,1983,527,33.2246688,-117.3040615,10
Single Family Residential,4402 Shearwater Way,Oceanside,CA,92057,545000,2,2,1092,1736,1979,499,33.2256346,-117.3026507,24
Single Family Residential,4379 Albatross Way,Oceanside,CA,92057,549000,2,2,1050,1736,1981,523,33.2237168,-117.2997149,31
Single Family Residential,1038 Eider Way,Oceanside,CA,92057,490000,2,2,1050,1736,1981,467,33.2241196,-117.2985433,52
Single Family Residential,4428 Skimmer Way,Oceanside,CA,92057,499000,2,2,1050,1736,1979,475,33.2255116,-117.3020414,67
Single Family Residential,4314 Auklet Way,Oceanside,CA,92057,598000,2,2,1092,1736,1985,548,33.2264369,-117.3056326,79
Single Family Residential,5455 N Marty Ave #194,Fresno,CA,93711,257000,2,2,912,1738,1984,282,36.8159693,-119.8583546,108
Single Family Residential,28 Malaga Dr,Rancho Mirage,CA,92270,429000,2,2,1320,1740,1975,325,33.748561,-116.409416,15
Single Family Residential,4486 Anne Sladon St,Oceanside,CA,92057,549000,2,2,1021,1742,1975,538,33.247933,-117.3167706,2
Single Family Residential,800 Lexington St #28,Delano,CA,93215,229000,3,2,1131,1742,1974,202,35.7678323,-119.2404322,3
Single Family Residential,13208 Village 13 #13,Camarillo,CA,93012,575000,2,2,1070,1742,1976,537,34.224111,-118.987722,3
Single Family Residential,12 Sparrowhawk Ln,Oak Park,CA,91377,825000,3,2.5,1462,1742,1978,564,34.1686347,-118.7666002,4
